keputusan,jumlah_nasabah,rata_skor_kredit,persen_gagal_bayar_tercatat,rata_rasio_hutang_terhadap_pendapatan,rata_tunggakan_2thn_terakhir,rata_probabilitas_layak
Layak,27929,673.29,0.0,0.24,0.31,0.93
Tidak Layak,22071,606.07,12.12,0.34,0.86,0.08
